County,County Code,Year,Zip,Tests,Less than 5 mcg/dL,5-10 mcg/dL,10 – 15 mcg/dL,15 + mcg/dL,Total Elevated Blood Levels ,Percent,"Rate per 1,000",Zip Code Location,County Location
Clinton,19,2000,12979,34,,,,,,,,"(44.990534, -73.367171)","(44.75271, -73.705648)"
Clinton,19,2016,12981,47,,,,,,,,"(44.679046, -73.824306)","(44.75271, -73.705648)"
Columbia,21,2006,12513,6,,,,,,,,"(42.22224, -73.734878)","(42.247729, -73.626805)"
Dutchess,27,2013,12531,18,18,0,0,0,0,0,0,"(41.5047, -73.66164)","(41.755009, -73.739951)"
Erie,29,2015,14059,51,,,,,,,,"(42.831055, -78.639808)","(42.752759, -78.778192)"
Essex,31,2014,12956,14,,,,,,,,"(44.078155, -73.517787)","(44.108971, -73.777573)"
Genesee,37,2018,14005,19,,,,,,,,"(42.918368, -78.252988)","(43.00091, -78.192778)"
Greene,39,2019,12439,2,,,,,,,,"(42.2586, -74.22498)","(42.286951, -74.149495)"
Greene,39,2004,12463,15,,,,,,,,"(42.174316, -74.021686)","(42.286951, -74.149495)"
Greene,39,2001,12470,12,,,,,,,,"(42.270473, -74.008879)","(42.286951, -74.149495)"
Herkimer,43,2016,13339,7,,,,,,,,"(42.95874, -74.57826)","(43.1631, -74.8741)"
Madison,53,2019,13052,4,,,,,,,,"(42.7602, -75.89232)","(42.910026, -75.663575)"
Rockland,87,2002,10980,143,128,14,,,,,,"(41.23644, -74.01126)","(41.154785, -74.024772)"
Rockland,87,2004,10994,59,,,,,,,,"(41.099095, -73.973848)","(41.154785, -74.024772)"
Schenectady,93,2010,12008,7,6,0,,,,,,"(42.854388, -73.904169)","(42.817542, -74.043583)"
Seneca,99,2003,14521,4,,,,,,,,"(42.67249, -76.808623)","(42.7652, -76.8721)"
St. Lawrence,89,2004,13630,11,,,,,,,,"(44.483181, -75.298577)","(44.488113, -75.074311)"
Steuben,101,2016,14879,24,,,,,,,,"(42.307167, -77.182785)","(42.266725, -77.385525)"
Suffolk,103,2014,11727,264,,,,,,,,"(40.885609, -73.006703)","(40.943554, -72.692218)"
Suffolk,103,2008,11958,5,,,,,,,,"(41.04158, -72.458859)","(40.943554, -72.692218)"
Sullivan,105,2017,12748,9,,,,,,,,"(41.74548, -74.74686)","(41.720176, -74.76468)"
Tioga,107,2012,13827,108,,,,,,,,"(42.09456, -76.24986)","(42.1256, -76.3637)"
Tioga,107,2003,13864,8,,,,,,,,"(42.276942, -76.378237)","(42.1256, -76.3637)"
Tioga,107,2020,14892,72,,,,,,,,"(42.015892, -76.533539)","(42.1256, -76.3637)"
Ulster,111,2005,12446,43,29,12,,,,,,"(41.81292, -74.29488)","(41.947232, -74.265447)"
Ulster,111,2017,12498,20,,,,,,,,"(42.032936, -74.116116)","(41.947232, -74.265447)"
Ulster,111,2012,12589,82,,,,,,,,"(41.617824, -74.149503)","(41.947232, -74.265447)"
Wayne,117,2013,14590,60,,,,,,,,"(43.245974, -76.832666)","(43.112841, -77.027175)"
Westchester,119,2007,10601,173,162,10,,,,,,"(41.030604, -73.76394)","(41.15277, -73.745912)"
Wyoming,121,2020,14530,63,,,,,,,,"(42.735814, -78.015498)","(42.701363, -78.228567)"
