Funding Cycle,County Name,Visit Type,Item,Variable,Variable Detail,Frequency Count,Percent of Total Frequency,Date Closed,Location
2009-2014,All counties,Revisits,Housing condition,Chemical smell indoors,Yes,196,3.2,10/27/2017,
2009-2014,All counties,Revisits,Housing condition,Smell of scented products,Improved,35,0.6,10/27/2017,
2014-2019,All counties,Initial visits,Housing information,Age of building,Unknown,2781,10.2,10/27/2017,
2006-2009,All counties,Revisits,Housing condition,Smoking limited to certain rooms,No,729,55.5,10/27/2017,
2014-2019,All counties,Revisits,Housing condition,Smoking allowed in home,Improved,18,1,10/27/2017,
2009-2014,All counties,Initial visits,Housing condition,Deteriorated paint inside,Yes,3725,19.8,10/27/2017,
2014-2019,All counties,Revisits,Housing condition,Every room has ventilation,Improved,32,0.5,10/27/2017,
2006-2009,All counties,Revisits,Housing condition,Every room has ventilation,Unknown,70,2.1,10/27/2017,
2014-2019,All counties,Revisits,Housing condition,Electrical hazards,Unknown,387,6.3,10/27/2017,
2009-2014,All counties,Revisits,Housing condition,Significant clutter,Yes,482,7.8,10/27/2017,
2009-2014,All counties,Revisits,Housing condition,Electrical hazards,Unknown,122,2,10/27/2017,
2006-2009,All counties,Revisits,Housing condition,Deteriorated paint inside,Unknown,86,4.8,10/27/2017,
2014-2019,All counties,Revisits,Housing condition,Smoking limited to certain rooms,Improved,26,1.5,10/27/2017,
2009-2014,All counties,Revisits,Housing condition,Furnace filter dirty or missing,Yes,222,3.6,10/27/2017,
2009-2014,All counties,Revisits,Housing condition,Humidifier or vaporizer used,Yes,475,7.7,10/27/2017,
2006-2009,All counties,Revisits,Housing condition,Significant dust accumulation,No,2900,87.5,10/27/2017,
2006-2009,All counties,Initial visits,Housing condition,Chemical smell indoors,Yes,550,3.8,10/27/2017,
2009-2014,All counties,Initial visits,Housing condition,Deteriorated paint outside,Yes,4870,25.9,10/27/2017,
2006-2009,All counties,Revisits,Housing condition,Deteriorated paint outside,No,1252,69.4,10/27/2017,
2014-2019,All counties,Initial visits,Housing condition,Improperly stored flammables,Unknown,639,2.4,10/27/2017,
2006-2009,All counties,Revisits,Housing condition,Smell of scented products,Improved,5,0.2,10/27/2017,
2006-2009,All counties,Revisits,Housing condition,Wall-to-wall carpeting or large rugs,Yes,2488,75.1,10/27/2017,
2009-2014,All counties,Revisits,Housing condition,Significant dust accumulation,No,5509,89.1,10/27/2017,
2009-2014,All counties,Initial visits,Housing condition,Smell of scented products,No,21400,88.4,10/27/2017,
2006-2009,All counties,Revisits,Housing condition,Significant clutter,No,2845,85.8,10/27/2017,
2009-2014,All counties,Initial visits,Housing condition,Significant dust accumulation,Yes,2413,10,10/27/2017,
2006-2009,All counties,Revisits,Housing condition,Exits function properly,Improved,11,0.3,10/27/2017,
2014-2019,All counties,Revisits,Housing condition,"Rats, evidence or reported",Improved,20,0.3,10/27/2017,
2006-2009,All counties,Revisits,Housing condition,Food/harborage for cockroaches,No,3027,91.3,10/27/2017,
2006-2009,All counties,Initial visits,Housing condition,Significant clutter,Yes,1598,11.1,10/27/2017,
2014-2019,All counties,Initial visits,Housing condition,Roofing or structural leaks,Yes,2053,7.6,10/27/2017,
2014-2019,All counties,Initial visits,Housing information,Owner occupied,Unknown,117,1.2,10/27/2017,
2009-2014,All counties,Revisits,Housing condition,Smoke detectors audible from sleeping spaces,Unknown,53,0.9,10/27/2017,
2006-2009,All counties,Initial visits,Housing information,Units in building,3 units,1027,7.2,10/27/2017,
2006-2009,All counties,Initial visits,Housing information,Age of building,Post-1978,991,6.9,10/27/2017,
2006-2009,All counties,Initial visits,Housing condition,Deteriorated paint inside,Unknown,1027,10,10/27/2017,
2014-2019,All counties,Revisits,Housing condition,Food/harborage for cockroaches,Improved,75,1.2,10/27/2017,
2014-2019,All counties,Initial visits,Housing condition,"Rats, evidence or reported",Yes,590,2.2,10/27/2017,
2006-2009,All counties,Initial visits,Housing condition,Improperly stored garbage near building,No,13156,91.7,10/27/2017,
2009-2014,All counties,Revisits,Housing condition,"Mice, evidence or reported",Unknown,53,0.9,10/27/2017,
2006-2009,All counties,Revisits,Housing condition,Smell of scented products,Unknown,123,3.7,10/27/2017,
2014-2019,All counties,Revisits,Housing condition,Improperly stored flammables,Improved,18,0.3,10/27/2017,
2014-2019,All counties,Initial visits,Housing condition,Humidifier or vaporizer used,Yes,3342,12.3,10/27/2017,
2009-2014,All counties,Revisits,Housing condition,Deteriorated paint inside,No,3856,83.3,10/27/2017,
2006-2009,All counties,Revisits,Housing condition,Deteriorated paint outside,Improved,46,2.5,10/27/2017,
2006-2009,All counties,Revisits,Housing condition,Smoker in home,No,1945,58.7,10/27/2017,
2014-2019,All counties,Revisits,Housing condition,"Rats, evidence or reported",Yes,46,0.7,10/27/2017,
2009-2014,All counties,Revisits,Housing condition,Humidifier or vaporizer used,Unknown,375,6.1,10/27/2017,
2014-2019,All counties,Revisits,Housing condition,Humidifier or vaporizer used,Unknown,746,12.1,10/27/2017,
2014-2019,All counties,Revisits,Housing condition,Improperly stored flammables,Yes,19,0.3,10/27/2017,
2009-2014,All counties,Initial visits,Respondent demographics,Race: Unknown,Unknown,584,2.4,10/27/2017,
2006-2009,All counties,Initial visits,Housing condition,Plumbing leaks,Yes,800,5.6,10/27/2017,
2014-2019,All counties,Initial visits,Housing information,Renter/owner,"Rent, public",3708,13.7,10/27/2017,
2009-2014,All counties,Initial visits,Housing condition,Smoker in home,No,16290,67.3,10/27/2017,
2006-2009,Rockland,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,Yes,673,77.9,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Rensselaer,Initial visits,Housing condition,Functional smoke detector on every floor,No,175,12.8,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Orange,Initial visits,Housing condition,"Mice, evidence or reported",Yes,355,13.2,10/27/2017,"(41.422459, -74.241929)"
2014-2019,All counties,Initial visits,Housing condition,Functional fire extinguisher,No,18607,68.5,10/27/2017,
2014-2019,Broome,Revisits,Housing condition,Significant dust accumulation,Improved,15,6.8,10/27/2017,"(42.122015, -75.933191)"
2006-2009,All counties,Revisits,Housing condition,Wall-to-wall carpeting or large rugs,Unknown,74,2.2,10/27/2017,
2014-2019,Onondaga,Revisits,Housing condition,"Mice, evidence or reported",Yes,214,26.7,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Erie,Initial visits,Housing information,Units in building,3 units,207,5.2,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Niagara,Revisits,Housing condition,Improperly stored flammables,No,560,89,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Onondaga,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,No,1310,94,10/27/2017,"(43.065629, -76.168033)"
2009-2014,Orange,Revisits,Housing condition,"Cockroaches, evidence or reported",No,395,86.1,10/27/2017,"(41.422459, -74.241929)"
2014-2019,All counties,Initial visits,Housing condition,Smoking allowed in home,Yes,5794,69.2,10/27/2017,
2009-2014,Tompkins,Revisits,Housing condition,Smoke detectors audible from sleeping spaces,Yes,268,54.5,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Rockland,Revisits,Housing condition,Improperly stored garbage inside,No,76,97.4,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Onondaga,Revisits,Housing condition,Effective housecleaning,Unknown,5,0.6,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Albany,Revisits,Housing condition,Every room has ventilation,Improved,1,0.4,10/27/2017,"(42.678066, -73.814233)"
2009-2014,Westchester,Initial visits,Housing condition,Effective housecleaning,No,95,4.6,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Onondaga,Initial visits,Housing condition,Smell of scented products,Yes,77,5.5,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Columbia,Revisits,Housing condition,Humidifier or vaporizer used,No,53,76.8,10/27/2017,"(42.276913, -73.682168)"
2006-2009,Schenectady,Initial visits,Housing condition,Chemical smell indoors,No,581,98.6,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Schenectady,Initial visits,Housing condition,Humidifier or vaporizer used,Unknown,22,1.7,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Albany,Revisits,Housing condition,Functional smoke detector on every floor,Unknown,30,12.9,10/27/2017,"(42.678066, -73.814233)"
2006-2009,Erie,Revisits,Housing condition,"Mice, evidence or reported",No,755,97.7,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Erie,Revisits,Housing condition,Improperly stored flammables,No,837,99.9,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Clinton,Initial visits,Housing condition,Smoking limited to certain rooms,No,132,24.9,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Niagara,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",No,25,3.3,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Oneida,Revisits,Housing condition,Deteriorated paint inside,Improved,44,25.7,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Monroe,Revisits,Housing condition,Furnace filter dirty or missing,Unknown,8,1.3,10/27/2017,"(43.161748, -77.620143)"
2006-2009,Erie,Initial visits,Housing condition,Roofing or structural leaks,Unknown,8,0.3,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Tioga,Revisits,Housing condition,Smoker in home,Yes,11,21.6,10/27/2017,"(42.120252, -76.29595)"
2014-2019,Schenectady,Revisits,Housing condition,Smoking limited to certain rooms,No,27,42.2,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Cortland,Initial visits,Housing condition,Significant dust accumulation,Unknown,26,2.9,10/27/2017,"(42.597101, -76.143291)"
2009-2014,Niagara,Initial visits,Respondent demographics,Race: Unknown,Unknown,1,0,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Schenectady,Initial visits,Housing condition,Smoker in home,No,461,55.7,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Clinton,Revisits,Housing condition,"Cockroaches, evidence or reported",Unknown,2,1,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Orange,Initial visits,Respondent demographics,Hispanic ethnicity,No,1470,55.2,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Orange,Initial visits,Housing condition,"Cockroaches, evidence or reported",No,727,77.3,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Rensselaer,Initial visits,Housing condition,Furnace filter dirty or missing,Unknown,206,15.1,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Monroe,Revisits,Housing condition,Smoking limited to certain rooms,Improved,5,2.1,10/27/2017,"(43.161748, -77.620143)"
2006-2009,Onondaga,Initial visits,Housing condition,Functional smoke detectors in common areas,No,793,56.9,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Onondaga,Initial visits,Housing condition,Smoking allowed in home,No,484,33.5,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Schenectady,Initial visits,Housing condition,Functional smoke detectors in common areas,Yes,354,27,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Niagara,Initial visits,Housing condition,Food/harborage for cockroaches,Unknown,279,11.4,10/27/2017,"(43.134634, -78.856419)"
2014-2019,NYC-Kings,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",Yes,24,77.4,10/27/2017,"(40.65642, -73.950691)"
2014-2019,Erie,Revisits,Housing condition,Residents practice exit drills,Yes,648,77.3,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Tompkins,Initial visits,Housing condition,Significant dust accumulation,Unknown,14,1,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Niagara,Revisits,Housing condition,"Mice, evidence or reported",Improved,1,0.1,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Rensselaer,Initial visits,Housing condition,Smoker in home,Unknown,13,2.4,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Oneida,Revisits,Housing condition,Deteriorated paint outside,Not applicable,75,,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Rockland,Initial visits,Respondent demographics,Race: Black,Black/African American,197,15.4,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Clinton,Initial visits,Housing information,Owner occupied,No,6,0.6,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Niagara,Initial visits,Housing condition,Smell of scented products,Unknown,182,5.3,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Onondaga,Initial visits,Respondent demographics,High school diploma or equivalent,Yes,2766,93.9,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Albany,Initial visits,Housing condition,Smoking allowed in home,Not applicable,934,,10/27/2017,"(42.678066, -73.814233)"
2009-2014,Clinton,Revisits,Housing condition,Wall-to-wall carpeting or large rugs,Yes,479,92.1,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Broome,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,Unknown,1,0.1,10/27/2017,"(42.122015, -75.933191)"
2014-2019,Westchester,Initial visits,Housing information,Owner occupied,No,4,50,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Rockland,Revisits,Housing condition,Significant dust accumulation,Improved,1,0.4,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Rockland,Revisits,Housing condition,Deteriorated paint inside,No,72,92.3,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Albany,Revisits,Housing condition,Functional fire extinguisher,Unknown,29,12.4,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Cortland,Initial visits,Housing information,Units in building,3 units,29,3.2,10/27/2017,"(42.597101, -76.143291)"
2009-2014,Niagara,Initial visits,Housing condition,Humidifier or vaporizer used,No,2903,84.6,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Clinton,Revisits,Housing condition,Roofing or structural leaks,Unknown,5,1,10/27/2017,"(44.731944, -73.548883)"
2009-2014,All counties,Revisits,Housing condition,Food/harborage for cockroaches,Yes,150,2.4,10/27/2017,
2009-2014,Schenectady,Initial visits,Housing condition,Exits function properly,No,28,3.4,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Monroe,Initial visits,Housing condition,Chemical smell indoors,Unknown,2,0.1,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Tompkins,Initial visits,Respondent demographics,Race: Unknown,Unknown,3,0.2,10/27/2017,"(42.461024, -76.478784)"
2014-2019,NYC-Bronx,Revisits,Housing condition,Functional smoke detectors in common areas,No,19,23.2,10/27/2017,"(40.85589, -73.868294)"
2009-2014,Tompkins,Initial visits,Housing condition,"Cockroaches, evidence or reported",Unknown,8,0.5,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Orange,Initial visits,Housing condition,Smoker in home,No,1968,73.1,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Schenectady,Initial visits,Housing condition,Humidifier or vaporizer used,Unknown,15,2.5,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Schenectady,Initial visits,Housing condition,"Rats, evidence or reported",Yes,7,0.5,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Orange,Initial visits,Respondent demographics,High school diploma or equivalent,Unknown,91,3.4,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Westchester,Initial visits,Housing information,Units in building,4 units,4,2.2,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Orange,Initial visits,Housing information,Units in building,4 units,77,8.2,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Schenectady,Revisits,Housing condition,Malfunctioning appliance that could cause indoor a,Unknown,3,1.6,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Cayuga,Initial visits,Housing condition,Smoking limited to certain rooms,Yes,149,36.1,10/27/2017,"(42.940095, -76.560755)"
2014-2019,Onondaga,Initial visits,Housing information,Age of building,Pre-1950,2600,88.3,10/27/2017,"(43.065629, -76.168033)"
2009-2014,Niagara,Initial visits,Housing condition,Working carbon monoxide detector,No,2029,59.1,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Columbia,Initial visits,Housing condition,"Walls, ceilings, stairs in good repair",Yes,306,78.5,10/27/2017,"(42.276913, -73.682168)"
2014-2019,Monroe,Initial visits,Housing condition,Smell of scented products,Unknown,2,0.1,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Tompkins,Initial visits,Housing condition,Smoker in home,No,1223,75.4,10/27/2017,"(42.461024, -76.478784)"
2009-2014,Tompkins,Revisits,Housing condition,Malfunctioning appliance that could cause indoor a,Improved,14,2.8,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Erie,Initial visits,Housing condition,Residents practice exit drills,Yes,859,30.9,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Oneida,Initial visits,Housing condition,Smoking allowed in home,Unknown,2,0.5,10/27/2017,"(43.149482, -75.361773)"
2006-2009,Erie,Initial visits,Housing condition,Deteriorated paint outside,Unknown,10,0.4,10/27/2017,"(42.888143, -78.795544)"
